Date, Open, High, Low, Close
12/31/19, 3215.18, 3231.72, 3212.03, 3230.78
12/30/19, 3240.09, 3240.92, 3216.57, 3221.29
12/27/19, 3247.23, 3247.93, 3234.37, 3240.02
12/26/19, 3227.20, 3240.08, 3227.20, 3239.91
12/24/19, 3225.45, 3226.43, 3220.51, 3223.38
12/23/19, 3226.05, 3227.78, 3222.30, 3224.01
12/20/19, 3223.33, 3225.65, 3216.03, 3221.22
12/19/19, 3192.32, 3205.48, 3192.32, 3205.37
12/18/19, 3195.21, 3198.48, 3191.14, 3191.14
12/17/19, 3195.40, 3198.22, 3191.03, 3192.52
12/16/19, 3183.63, 3197.71, 3183.63, 3191.45
12/13/19, 3166.65, 3182.68, 3156.51, 3168.80
12/12/19, 3141.23, 3176.28, 3138.47, 3168.57
12/11/19, 3135.75, 3143.98, 3133.21, 3141.63
12/10/19, 3135.36, 3142.12, 3126.09, 3132.52
12/09/19, 3141.86, 3148.87, 3135.46, 3135.96
12/06/19, 3134.62, 3150.60, 3134.62, 3145.91
12/05/19, 3119.21, 3119.45, 3103.76, 3117.43
12/04/19, 3103.50, 3119.38, 3102.53, 3112.76
12/03/19, 3087.41, 3094.97, 3070.33, 3093.20
12/02/19, 3143.85, 3144.31, 3110.78, 3113.87
11/29/19, 3147.18, 3150.30, 3139.34, 3140.98
11/27/19, 3145.49, 3154.26, 3143.41, 3153.63
11/26/19, 3134.85, 3142.69, 3131.00, 3140.52
11/25/19, 3117.44, 3133.83, 3117.44, 3133.64
11/22/19, 3111.41, 3112.87, 3099.26, 3110.29
11/21/19, 3108.49, 3110.11, 3094.55, 3103.54
11/20/19, 3114.66, 3118.97, 3091.41, 3108.46
11/19/19, 3127.45, 3127.64, 3113.47, 3120.18
11/18/19, 3117.91, 3124.17, 3112.06, 3122.03
11/15/19, 3107.92, 3120.46, 3104.60, 3120.46
11/14/19, 3090.75, 3098.20, 3083.26, 3096.63
11/13/19, 3084.18, 3098.06, 3078.80, 3094.04
11/12/19, 3089.28, 3102.61, 3084.73, 3091.84
11/11/19, 3080.33, 3088.33, 3075.82, 3087.01
11/08/19, 3081.25, 3093.09, 3073.58, 3093.08
11/07/19, 3087.02, 3097.77, 3080.23, 3085.18
11/06/19, 3075.10, 3078.34, 3065.89, 3076.78
11/05/19, 3080.80, 3083.95, 3072.15, 3074.62
11/04/19, 3078.96, 3085.20, 3074.87, 3078.27
11/01/19, 3050.72, 3066.95, 3050.72, 3066.91
10/31/19, 3046.90, 3046.90, 3023.19, 3037.56
10/30/19, 3039.74, 3050.10, 3025.96, 3046.77
10/29/19, 3035.39, 3047.87, 3034.81, 3036.89
10/28/19, 3032.12, 3044.08, 3032.12, 3039.42
10/25/19, 3003.32, 3027.39, 3001.94, 3022.55
10/24/19, 3014.78, 3016.07, 3000.42, 3010.29
10/23/19, 2994.01, 3004.78, 2991.21, 3004.52
10/22/19, 3010.73, 3014.57, 2995.04, 2995.99
10/21/19, 2996.48, 3007.33, 2995.35, 3006.72
10/18/19, 2996.84, 3000.00, 2976.31, 2986.20
10/17/19, 3000.77, 3008.29, 2991.79, 2997.95
10/16/19, 2989.68, 2997.54, 2985.20, 2989.69
10/15/19, 2973.61, 3003.28, 2973.61, 2995.68
10/14/19, 2965.81, 2972.84, 2962.94, 2966.15
10/11/19, 2963.07, 2993.28, 2963.07, 2970.27
10/10/19, 2918.55, 2948.46, 2917.12, 2938.13
10/09/19, 2911.10, 2929.32, 2907.41, 2919.40
10/08/19, 2920.40, 2925.47, 2892.66, 2893.06
10/07/19, 2944.23, 2959.75, 2935.68, 2938.79
10/04/19, 2918.56, 2953.74, 2918.56, 2952.01
10/03/19, 2885.38, 2911.13, 2855.94, 2910.63
10/02/19, 2924.78, 2924.78, 2874.93, 2887.61
10/01/19, 2983.69, 2992.53, 2938.70, 2940.25
09/30/19, 2967.07, 2983.85, 2967.07, 2976.74
09/27/19, 2985.47, 2987.31, 2945.53, 2961.79
09/26/19, 2985.73, 2987.28, 2963.71, 2977.62
09/25/19, 2968.35, 2989.82, 2952.86, 2984.87
09/24/19, 3002.43, 3007.98, 2957.73, 2966.60
09/23/19, 2983.50, 2999.15, 2982.23, 2991.78
09/20/19, 3008.42, 3016.37, 2984.68, 2992.07
09/19/19, 3010.36, 3021.99, 3003.16, 3006.79
09/18/19, 3001.50, 3007.83, 2978.57, 3006.73
09/17/19, 2995.67, 3006.21, 2993.73, 3005.70
09/16/19, 2996.41, 3002.19, 2990.67, 2997.96
09/13/19, 3012.21, 3017.33, 3002.90, 3007.39
